title,descrizione,host,cosa,giorni,location,description
,,Cubbit,pinolo,"27,28,29",Piazza Cassini,
,,Staff Scambi,pinolo,"27,29",Piazzetta dei Ferri,
,,FAI Giovani Imperia,pinolo,29,Piazza Cassini,
,,,pinolo,"27,28,29",Palazzo Nota,
,,Passione Scienza,pinolo,"27,28,29",Piazza Cassini,
,,"La Ciotola,Staff Scambi",pinolo,"27,28,29",La Ciotola,
,,,pinolo,28,Piazza Cassini,
